sampleID POP K1 K2 K3 K4 K5
HG00707 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00708 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00717 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00728 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00729 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00731 AMR 0.005184 1e-05 0.067924 0.895105 0.031778
HG00732 AMR 0.008602 0.006928 0.107452 0.812994 0.064024
HG00734 AMR 0.014703 1e-05 0.174785 0.698766 0.111737
HG00736 AMR 0.014053 1e-05 0.087418 0.827677 0.070842
HG00737 AMR 0.015235 1e-05 0.085682 0.819437 0.079635
HG00739 AMR 1e-05 0.009912 0.046884 0.885538 0.057656
HG00740 AMR 0.016943 1e-05 0.130111 0.734943 0.117993
HG00742 AMR 0.010737 1e-05 0.047842 0.87724 0.06417
HG00743 AMR 0.01551 1e-05 0.192728 0.691466 0.100286
HG00759 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00766 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00844 EAS 0.999959 1.1e-05 1e-05 1e-05 1e-05
HG00851 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00864 EAS 0.995414 0.004556 1e-05 1e-05 1e-05
HG00867 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00879 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00881 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00956 EAS 0.996094 0.003876 1e-05 1e-05 1e-05
HG00978 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00982 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG01028 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG01029 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG01031 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG01046 EAS 0.999959 1.1e-05 1e-05 1e-05 1e-05
HG01047 AMR 0.008946 0.013942 0.082656 0.806821 0.087635
HG01048 AMR 0.005191 0.02631 0.121977 0.736851 0.109672
HG01049 AMR 0.009477 1e-05 0.113371 0.647108 0.230034
HG01051 AMR 0.012479 0.003914 0.162476 0.598701 0.22243
HG01052 AMR 0.011019 0.020721 0.155632 0.592196 0.220432
HG01054 AMR 0.014477 0.005012 0.133904 0.771685 0.074922
HG01055 AMR 0.008198 0.007136 0.093886 0.763429 0.12735
HG01058 AMR 0.011918 0.014713 0.125508 0.719616 0.128246
HG01060 AMR 0.002437 0.010738 0.098488 0.796826 0.09151
HG01061 AMR 0.015405 1e-05 0.117647 0.790689 0.076249
HG01063 AMR 0.015746 0.005632 0.109558 0.513197 0.355868
HG01064 AMR 0.017453 1e-05 0.102057 0.699226 0.181254
HG01066 AMR 0.017041 1e-05 0.108113 0.799993 0.074843
HG01067 AMR 0.017748 1e-05 0.118647 0.77444 0.089155
HG01069 AMR 0.009434 1e-05 0.13574 0.756408 0.098409
HG01070 AMR 0.012305 1e-05 0.12351 0.806402 0.057773
HG01072 AMR 0.010211 1e-05 0.125995 0.770364 0.09342
HG01073 AMR 0.023491 1e-05 0.119963 0.76477 0.091767
HG01075 AMR 0.007575 0.007393 0.042251 0.854517 0.088264
